date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:09	162/162	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202026%2016:14:34%20GMT	https://www.pushpress.com/robots.txt		(from )
01:14:10	154514/154514	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:13:57%20GMT	https://www.pushpress.com/	C:/Users/abdul/projects/pushpress/www.pushpress.com/index.html	(from )
01:14:10	721294/721294	---MCZ	200	added ('OK')	text/css	etag:W/%229b3c4772bf826f031d65f44417947573%22	https://cdn.prod.website-files.com/60359921321f8d5992691da6/css/pushpress-staging.shared.a1698a44d.min.css	C:/Users/abdul/projects/pushpress/cdn.prod.website-files.com/60359921321f8d5992691da6/css/pushpress-staging.shared.a1698a44d.min.css	(from https://www.pushpress.com/)
01:14:10	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/abdul/projects/pushpress/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.pushpress.com/)
01:14:11	411/411	---M--	200	added ('OK')	image/png	etag:%221c86fbfa8cf3334354c2bfff70472d85%22	https://cdn.prod.website-files.com/60359921321f8d5992691da6/63eacc3d08b2480ca711725a_PP-favicon.png	C:/Users/abdul/projects/pushpress/cdn.prod.website-files.com/60359921321f8d5992691da6/63eacc3d08b2480ca711725a_PP-favicon.png	(from https://www.pushpress.com/)
01:14:11	2378/2378	---M--	200	added ('OK')	image/png	etag:%22afcca7feb5fba7597249b4e4cfce6de1%22	https://cdn.prod.website-files.com/60359921321f8d5992691da6/63eace35a1ab2dfc5560b4f0_PP-icon%20256x256.png	C:/Users/abdul/projects/pushpress/cdn.prod.website-files.com/60359921321f8d5992691da6/63eace35a1ab2dfc5560b4f0_PP-icon%20256x256.png	(from https://www.pushpress.com/)
01:14:11	582214/582214	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20Mar%202026%2019:44:11%20GMT	https://www.pushpress.com/haqt6iy0yx2eNjAzNTk5MjEzMjFmOGQ1OTkyNjkxZGE2/eeLnR4gWKkDeg8Q4W_ShFWR8GI0	C:/Users/abdul/projects/pushpress/www.pushpress.com/haqt6iy0yx2eNjAzNTk5MjEzMjFmOGQ1OTkyNjkxZGE2/eeLnR4gWKkDeg8Q4W_ShFWR8GI0	(from https://www.pushpress.com/)
01:14:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Mar%202026%2019:44:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/abdul/projects/pushpress/www.googletagmanager.com/gtm.55445.delayed	(from https://www.pushpress.com/)
01:14:12	35/35	---M--	200	added ('OK')	image/gif	date:Mon,%2009%20Mar%202026%2019:44:12%20GMT	https://dev.visualwebsiteoptimizer.com/ee.gif?a=	C:/Users/abdul/projects/pushpress/dev.visualwebsiteoptimizer.com/ee5ba7.gif	(from https://www.pushpress.com/)
01:14:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2009%20Mar%202026%2019:44:13%20GMT	https://www.pushpress.com/GET	C:/Users/abdul/projects/pushpress/www.pushpress.com/GET	(from https://www.pushpress.com/)
01:14:13	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2009%20Mar%202026%2019:44:13%20GMT	https://www.pushpress.com/button.href,%20window.location.origin	C:/Users/abdul/projects/pushpress/www.pushpress.com/button.href,%20window.location.origin	(from https://www.pushpress.com/)
01:14:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202026%2019:44:14%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/projects/pushpress/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.9.delayed	(from https://www.pushpress.com/)
01:14:14	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/abdul/projects/pushpress/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.pushpress.com/)
01:14:14	25508/25508	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:15:32%20GMT	https://www.pushpress.com/offer/flex-your-tech	C:/Users/abdul/projects/pushpress/www.pushpress.com/offer/flex-your-tech.html	(from https://www.pushpress.com/)
01:14:15	29572/29572	---M--	200	added ('OK')	image/png	etag:%225e4d44e880846a883ae9045f54fd4870%22	https://cdn.prod.website-files.com/60359921321f8d5992691da6/63eaa47f1754e40385fa431f_pp-primary.png	C:/Users/abdul/projects/pushpress/cdn.prod.website-files.com/60359921321f8d5992691da6/63eaa47f1754e40385fa431f_pp-primary.png	(from https://www.pushpress.com/)
01:14:15	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/abdul/projects/pushpress/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.pushpress.com/)
01:14:16	92090/92090	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:37:34%20GMT	https://www.pushpress.com/products/core	C:/Users/abdul/projects/pushpress/www.pushpress.com/products/core.html	(from https://www.pushpress.com/)
01:14:16	35534/35534	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:51:53%20GMT	https://www.pushpress.com/landing/ai-gym-management-software	C:/Users/abdul/projects/pushpress/www.pushpress.com/landing/ai-gym-management-software.html	(from https://www.pushpress.com/)
01:14:16	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2009%20Mar%202026%2019:44:17%20GMT	https://www.pushpress.com/fitness-business-software/crossfit	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/crossfit	(from https://www.pushpress.com/)
01:14:17	65536/65536	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:49:58%20GMT	https://www.pushpress.com/fitness-business-software/martial-arts	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/martial-arts.html	(from https://www.pushpress.com/)
01:14:17	78359/78359	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2019:12:30%20GMT	https://www.pushpress.com/fitness-business-software/strength-conditioning	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/strength-conditioning.html	(from https://www.pushpress.com/)
01:14:18	77674/77674	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2019:28:38%20GMT	https://www.pushpress.com/fitness-business-software/small-group-classes	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/small-group-classes.html	(from https://www.pushpress.com/)
01:14:18	78429/78429	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2016:31:17%20GMT	https://www.pushpress.com/fitness-business-software/personal-training	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/personal-training.html	(from https://www.pushpress.com/)
01:14:18	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2009%20Mar%202026%2019:44:19%20GMT	https://www.pushpress.com/fitness-business-software/speed-school	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/speed-school	(from https://www.pushpress.com/)
01:14:19	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2009%20Mar%202026%2019:44:19%20GMT	https://www.pushpress.com/fitness-business-software/sports-performance	C:/Users/abdul/projects/pushpress/www.pushpress.com/fitness-business-software/sports-performance	(from https://www.pushpress.com/)
